id,business_id,account_type,entry_type,amount,description,created_by,created_at,transaction_id,tracked_account_id
82,3,cash,credit,1850.00,Sale entry,3,2026-08-12 17:55:27.701445+03,51,
86,3,tracked,debit,34000.00,Get money back from Rayyan Swaleh,3,2026-08-12 17:59:33.193527+03,54,11
87,3,cash,credit,34000.00,Get money back from Rayyan Swaleh,3,2026-08-12 17:59:33.193527+03,54,
89,3,float,debit,30000.00,Safaricom 2,3,2026-08-13 12:39:46.200913+03,56,
83,3,float,credit,2825.00,Sale entry,3,2026-08-12 17:57:56.233065+03,52,
84,3,float,debit,34000.00,Give money to Rayyan Swaleh,3,2026-08-12 17:59:19.065043+03,53,
85,3,tracked,credit,34000.00,Give money to Rayyan Swaleh,3,2026-08-12 17:59:19.065043+03,53,11
90,3,cash,debit,100.00,wahesco to shop (robin),3,2026-08-13 14:03:08.307432+03,57,
88,3,cash,debit,100.00,from simba,3,2026-08-12 18:03:26.848142+03,55,
91,3,float,credit,6000.00,Douglas Zake,3,2026-08-13 15:11:07.197802+03,47,
92,3,cash,debit,6000.00,Douglas Zake,3,2026-08-13 15:11:07.197802+03,47,
94,3,float,credit,1200.00,Sale entry,3,2026-08-11 18:00:00+03,34,
95,3,cash,credit,28170.00,Sale entry,3,2026-08-11 18:00:00+03,33,
96,3,cash,credit,12900.00,Sale entry,3,2026-08-13 17:51:25.052709+03,59,
97,3,float,debit,15600.00,Give money to Amar Maery,3,2026-08-13 17:55:21.554533+03,60,
98,3,tracked,credit,15600.00,Give money to Amar Maery,3,2026-08-13 17:55:21.554533+03,60,10
99,3,float,credit,8800.00,Sale entry,3,2026-08-13 15:42:27.698834+03,58,
100,3,float,debit,900.00,Hamid Salim ( 2 cartons ),3,2026-08-10 12:31:38.809572+03,15,
101,3,float,debit,300.00,mzungu to lamu parcel,3,2026-08-10 13:52:43.120593+03,17,
102,3,float,debit,59208.00,To Abdulbasit (Costwise Electrical),3,2026-08-12 09:48:06.747985+03,35,
103,3,float,credit,100.00,Customer M-Pesa withdrawal,3,2026-08-11 14:58:21.223373+03,28,
104,3,cash,debit,100.00,Customer M-Pesa withdrawal,3,2026-08-11 14:58:21.223373+03,28,
105,3,float,debit,12555.00,Abdulbasit(WAMBUI),3,2026-08-11 08:58:03.503309+03,23,
106,3,float,debit,2000.00,Give money to sambula,3,2026-08-13 18:06:31.570467+03,61,
107,3,tracked,credit,2000.00,Give money to sambula,3,2026-08-13 18:06:31.570467+03,61,12
108,3,float,credit,6800.00,Customer M-Pesa withdrawal,3,2026-08-13 18:08:33.810962+03,62,
109,3,cash,debit,6800.00,Customer M-Pesa withdrawal,3,2026-08-13 18:08:33.810962+03,62,
110,3,cash,credit,2000.00,Customer M-Pesa deposit,3,2026-08-13 18:08:51.582355+03,63,
111,3,float,debit,2000.00,Customer M-Pesa deposit,3,2026-08-13 18:08:51.582355+03,63,
112,3,float,debit,2000.00,To Swaleh (Memon Arif),3,2026-08-12 14:54:02.210778+03,42,
113,3,float,debit,4800.00,Said Swaleh (k T),3,2026-08-14 11:32:30.00197+03,64,
114,3,float,debit,1800.00,Expense entry,3,2026-08-14 15:09:47.7594+03,65,
115,3,float,debit,40000.00,Give money to Amar Maery,3,2026-08-14 15:11:20.167861+03,66,
116,3,tracked,credit,40000.00,Give money to Amar Maery,3,2026-08-14 15:11:20.167861+03,66,10
117,3,float,debit,30000.00,saf 2,3,2026-08-14 15:14:08.756854+03,67,
118,3,cash,credit,480.00,Sale entry,3,2026-08-14 18:04:32.744729+03,68,
119,3,float,credit,17950.00,Sale entry,3,2026-08-14 18:04:40.992536+03,69,
